Route Direction,"Bus Route 
Direction",Route,Line,Rt,Intersection,Name,SD,Fixed Heading,Mean  Heading,Combined Heading,Heading,Min,Max,Requested Direction,Corrected,Combined Direction,Comments
East,East,Rt5,5,5,Intersection 33,Braddock Dr + Overland Ave,0.76,,32.60,32.60,35,350,80,,, ,
North,North,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,2.42,,323.51,323.51,325,280,10,,, ,
South (54),South,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,0.61,,141.44,141.44,140,95,185,,, ,
South (57),South,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,0.69,,141.32,141.32,140,95,185,,, ,
West ,West ,Rt5,5,5,Intersection 33,Braddock Dr + Overland Ave,0.97,,214.58,214.58,215,170,260,,, ,
East,East,Rt5,5,5,Intersection 23,Braddock Dr + Sepulveda Blvd,1.10,,31.73,31.73,30,345,75,,, ,
North,North,Rt6,6,6,Intersection 23,Braddock Dr + Sepulveda Blvd,0.46,,304.41,304.41,305,260,350,,North ,North ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 23,Braddock Dr + Sepulveda Blvd,1.17,,303.97,303.97,305,260,350,,North ,North ,
South ,South ,Rt6,6,6,Intersection 23,Braddock Dr + Sepulveda Blvd,0.93,,124.96,124.96,125,80,170,,South ,South ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 23,Braddock Dr + Sepulveda Blvd,1.14,,124.96,124.96,125,80,170,,South ,South ,
East,East,Rt2,2,2,Intersection 62,Bristol Pkwy + Green Valley Cir,4.42,,105.88,105.88,105,60,150,,, ,
North (15),North,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,3.34,,103.78,103.78,105,60,150,,, ,
South (54),South,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,3.12,,245.70,245.70,245,200,290,,, ,
South (57),South,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,4.53,,245.80,245.80,245,200,290,,, ,
East,East,Rt1,1,1,Intersection 45,Cardiff Ave + Culver Blvd,2.10,,33.78,33.78,35,350,80,,, ,
East,East,Rt5,5,5,Intersection 45,Cardiff Ave + Culver Blvd,1.91,,36.31,36.31,35,350,80,,, ,
East ,East ,Rt7,7,7,Intersection 45,Cardiff Ave + Culver Blvd,2.50,,35.75,35.75,35,350,80,,, ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 45,Cardiff Ave + Culver Blvd,1.35,,37.28,37.28,35,350,80,,, ,
West ,West ,Rt1,1,1,Intersection 45,Cardiff Ave + Culver Blvd,0.89,,212.07,212.07,210,165,255,,, ,
West ,West ,Rt5,5,5,Intersection 45,Cardiff Ave + Culver Blvd,0.74,,211.94,211.94,210,165,255,,, ,
West ,West ,Rt7,7,7,Intersection 45,Cardiff Ave + Culver Blvd,0.51,,212.29,212.29,210,165,255,,, ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 45,Cardiff Ave + Culver Blvd,0.70,,213.06,213.06,215,170,260,,, ,
North (15),North,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,2.25,,129.82,129.82,130,85,175,,, ,
South (54),South,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,0.80,,193.50,193.50,195,150,240,,, ,
South (57),South,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,3.53,,193.68,193.68,195,150,240,,, ,
North (27),North,Rt3,3,3,Intersection 61,Centinela Ave + Bristol Pkway,12.47,,203.00,203.00,205,160,250,,, ,
West ,West ,Rt2,2,2,Intersection 61,Centinela Ave + Bristol Pkway,1.35,,199.99,199.99,200,155,245,,, ,
North (15),North,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,2.22,,125.57,125.57,125,80,170,,, ,
South (54),South,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,13.45,,143.86,143.86,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,16.06,,285.72,285.72,285,240,330,,, ,
East,East,Rt1,1,1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.00,,34.35,34.35,35,350,80,,East ,East ,EB right turn
East,East,Rt5,5,5,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.50,,33.17,33.17,35,350,80,,East ,East ,EB right turn
East ,East ,Rt7,7,7,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.31,,34.04,34.04,35,350,80,,East ,East ,EB right turn
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,0.36,,32.73,32.73,35,350,80,,East ,East ,EB right turn
West ,West ,Rt1,1,1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,22.50,,241.55,241.55,240,195,285,,North ,North ,NB left turn
West ,West ,Rt5,5,5,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.26,,233.62,233.62,235,190,280,,North ,North ,NB left turn
West ,West ,Rt7,7,7,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.88,,232.64,232.64,235,190,280,,North ,North ,NB left turn
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.09,,232.95,232.95,235,190,280,,North ,North ,NB left turn
East,East,Rt1,1,1,Intersection 42,Culver Blvd + Duquesne Ave,5.17,,55.30,55.30,55,10,100,,South ,South ,
East,East,Rt5,5,5,Intersection 42,Culver Blvd + Duquesne Ave,11.83,,24.79,24.79,25,340,70,,East ,East ,
East ,East ,Rt7,7,7,Intersection 42,Culver Blvd + Duquesne Ave,1.69,,34.36,34.36,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 42,Culver Blvd + Duquesne Ave,0.48,,34.17,34.17,35,350,80,,East ,East ,
West ,West ,Rt1,1,1,Intersection 42,Culver Blvd + Duquesne Ave,0.81,,214.54,214.54,215,170,260,,West ,West ,WB left turn
West ,West ,Rt5,5,5,Intersection 42,Culver Blvd + Duquesne Ave,0.93,,213.42,213.42,215,170,260,,West ,West ,WB left turn
West ,West ,Rt7,7,7,Intersection 42,Culver Blvd + Duquesne Ave,1.10,,214.10,214.10,215,170,260,,West ,West ,WB left turn
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 42,Culver Blvd + Duquesne Ave,0.58,,213.75,213.75,215,170,260,,West ,West ,WB left turn
East ,East ,Rt7,7,7,Intersection 28,Culver Blvd + Elenda St,0.89,,34.13,34.13,35,350,80,,East ,East ,
West ,West ,Rt7,7,7,Intersection 28,Culver Blvd + Elenda St,1.05,,213.37,213.37,215,170,260,,West ,West ,
East,East,Rt5,5,5,Intersection 37,Culver Blvd + Madison Ave,3.50,,302.43,302.43,300,255,345,,North ,North ,NB left turn
East ,East ,Rt7,7,7,Intersection 37,Culver Blvd + Madison Ave,3.88,,31.36,31.36,30,345,75,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 37,Culver Blvd + Madison Ave,1.55,,31.49,31.49,30,345,75,,East ,East ,
West ,West ,Rt5,5,5,Intersection 37,Culver Blvd + Madison Ave,3.08,,215.24,215.24,215,170,260,,West ,West ,WB left turn
West ,West ,Rt7,7,7,Intersection 37,Culver Blvd + Madison Ave,1.53,,213.73,213.73,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 37,Culver Blvd + Madison Ave,1.44,,214.71,214.71,215,170,260,,West ,West ,
East,East,Rt1,1,1,Intersection 46,Culver Blvd + Main St/Washington Bl,1.43,,33.00,33.00,35,350,80,,East ,East ,
East,East,Rt5,5,5,Intersection 46,Culver Blvd + Main St/Washington Bl,1.55,,34.40,34.40,35,350,80,,East ,East ,
East ,East ,Rt7,7,7,Intersection 46,Culver Blvd + Main St/Washington Bl,1.18,,33.59,33.59,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 46,Culver Blvd + Main St/Washington Bl,0.54,,34.24,34.24,35,350,80,,East ,East ,
West ,West ,Rt1,1,1,Intersection 46,Culver Blvd + Main St/Washington Bl,14.77,,305.47,305.47,305,260,350,,West ,West ,
West ,West ,Rt5,5,5,Intersection 46,Culver Blvd + Main St/Washington Bl,1.37,,310.30,310.30,310,265,355,,West ,West ,
West ,West ,Rt7,7,7,Intersection 46,Culver Blvd + Main St/Washington Bl,2.94,,309.73,309.73,310,265,355,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 46,Culver Blvd + Main St/Washington Bl,0.92,,309.56,309.56,310,265,355,,West ,West ,
East ,East ,Rt7,7,7,Intersection 34,Culver Blvd + Overland Ave,3.74,,35.57,35.57,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 34,Culver Blvd + Overland Ave,36.59,,111.12,111.12,110,65,155,,, ,Likely unreliable trigger point due to pulling out of Vets Park layover
North (15),North,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,1.47,,321.68,321.68,320,275,5,,, ,
South (54),South,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,0.42,,143.08,143.08,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,3.86,,141.02,141.02,140,95,185,,, ,
West ,West ,Rt7,7,7,Intersection 34,Culver Blvd + Overland Ave,1.13,,213.92,213.92,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 34,Culver Blvd + Overland Ave,0.45,,214.03,214.03,215,170,260,,West ,West ,
East ,East ,Rt7,7,7,Intersection 17,Culver Blvd + Sawtelle Blvd,1.03,,33.98,33.98,35,350,80,,East ,East ,
West ,West ,Rt7,7,7,Intersection 17,Culver Blvd + Sawtelle Blvd,0.67,,214.27,214.27,215,170,260,,West ,West ,
East ,East ,Rt7,7,7,Intersection 25,Culver Blvd + Sepulveda Blvd,1.06,,33.79,33.79,35,350,80,,East ,East ,
North,North,Rt6,6,6,Intersection 25,Culver Blvd + Sepulveda Blvd,0.72,,305.08,305.08,305,260,350,,North ,North ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 25,Culver Blvd + Sepulveda Blvd,1.27,,305.88,305.88,305,260,350,,North ,North ,
South ,South ,Rt6,6,6,Intersection 25,Culver Blvd + Sepulveda Blvd,0.90,,124.85,124.85,125,80,170,,South ,South ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 25,Culver Blvd + Sepulveda Blvd,1.26,,124.54,124.54,125,80,170,,South ,South ,
West ,West ,Rt7,7,7,Intersection 25,Culver Blvd + Sepulveda Blvd,0.77,,216.41,216.41,215,170,260,,West ,West ,
East ,East ,Rt7,7,7,Intersection 35,Culver Blvd + Sony Entry / Motor Dr,2.23,,34.12,34.12,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 35,Culver Blvd + Sony Entry / Motor Dr,0.35,,33.50,33.50,35,350,80,,East ,East ,
West ,West ,Rt7,7,7,Intersection 35,Culver Blvd + Sony Entry / Motor Dr,1.17,,213.71,213.71,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 35,Culver Blvd + Sony Entry / Motor Dr,0.49,,213.89,213.89,215,170,260,,West ,West ,
North (15),North,Rt3,3,3,Intersection 32,Franklin Ave + Farragut Dr / Overland Ave,0.56,,321.14,321.14,320,275,5,,, ,
South (54),South,Rt3,3,3,Intersection 32,Franklin Ave + Farragut Dr / Overland Ave,2.58,,143.86,143.86,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 32,Franklin Ave + Farragut Dr / Overland Ave,0.53,,141.25,141.25,140,95,185,,, ,
North (15),North,Rt3,3,3,Intersection 67,Hannum Ave + Bristol Pkwy,3.09,,27.86,27.86,30,345,75,,, ,
South (54),South,Rt3,3,3,Intersection 67,Hannum Ave + Bristol Pkwy,0.18,,264.33,264.33,265,220,310,,, ,
South (57),South,Rt3,3,3,Intersection 67,Hannum Ave + Bristol Pkwy,1.06,,261.38,261.38,260,215,305,,, ,
North (15),North,Rt3,3,3,Intersection 64,Hannum Ave + Buckingham Pkwy,3.40,,81.14,81.14,80,35,125,,, ,
South (54),South,Rt3,3,3,Intersection 64,Hannum Ave + Buckingham Pkwy,3.43,,233.08,233.08,235,190,280,,, ,
South (57),South,Rt3,3,3,Intersection 64,Hannum Ave + Buckingham Pkwy,6.10,,236.65,236.65,235,190,280,,, ,
North (27),North,Rt3,3,3,Intersection 75,Hannum Ave + Playa Ct,2.17,,319.34,319.34,320,275,5,,, ,
South (67),South,Rt3,3,3,Intersection 75,Hannum Ave + Playa Ct,28.46,,219.08,219.08,220,175,265,,West ,West ,"*high SD, other route variant labels this correctly"
North (27),North,Rt3,3,3,Intersection 80,Hannum Ave + Playa St,1.68,,322.38,322.38,320,275,5,,, ,
South (67),South,Rt3,3,3,Intersection 80,Hannum Ave + Playa St,1.92,,232.28,232.28,230,185,275,,, ,
North (15),North,Rt3,3,3,Intersection 65,Hannum Ave + Uplander Way,16.67,,77.64,77.64,80,35,125,,, ,
South (54),South,Rt3,3,3,Intersection 65,Hannum Ave + Uplander Way,0.70,,266.30,266.30,265,220,310,,, ,
South (57),South,Rt3,3,3,Intersection 65,Hannum Ave + Uplander Way,1.40,,268.87,268.87,270,225,315,,, ,
West ,West ,Rt5,5,5,Intersection 51,Hayden Av/Pl* + Higuera St,1.30,,194.48,194.48,195,150,240,,, ,
North,North,Rt6,6,6,Intersection 18,I-405 NB On/Off-Ramp + Sepulveda Blvd,0.71,,326.33,326.33,325,280,10,,, ,
South ,South ,Rt6,6,6,Intersection 18,I-405 NB On/Off-Ramp + Sepulveda Blvd,2.12,,147.43,147.43,145,100,190,,, ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 18,I-405 NB On/Off-Ramp + Sepulveda Blvd,1.15,,147.48,147.48,145,100,190,,, ,
East ,East ,Rt4,4,4,Intersection 95,Jefferson Blvd + College Blvd / Leahy St,1.00,,22.91,22.91,25,340,70,,, ,
West,West,Rt4,4,4,Intersection 95,Jefferson Blvd + College Blvd / Leahy St,2.68,,191.28,191.28,190,145,235,,, ,
East ,East ,Rt4,4,4,Intersection 86,Jefferson Blvd + Cota St,0.91,,358.12,358.12,360,315,45,,, ,
North (15),North,Rt3,3,3,Intersection 86,Jefferson Blvd + Cota St,0.57,,358.15,358.15,360,315,45,,, ,
South (54),South,Rt3,3,3,Intersection 86,Jefferson Blvd + Cota St,0.68,,202.76,202.76,205,160,250,,, ,
South (57),South,Rt3,3,3,Intersection 86,Jefferson Blvd + Cota St,0.30,,202.48,202.48,200,155,245,,, ,
West,West,Rt4,4,4,Intersection 86,Jefferson Blvd + Cota St,0.79,,202.36,202.36,200,155,245,,, ,
East ,East ,Rt4,4,4,Intersection 97,Jefferson Blvd + Duquesne Ave,3.20,,5.82,5.82,5,320,50,,, ,
West,West,Rt4,4,4,Intersection 97,Jefferson Blvd + Duquesne Ave,2.55,,213.02,213.02,215,170,260,,, ,
East ,East ,Rt4,4,4,Intersection 105,Jefferson Blvd + Hetzler Rd (New),0.98,,70.90,70.90,70,25,115,,, ,*Signal orientation transitions to E/W along Jfferson here. This is fine.
West,West,Rt4,4,4,Intersection 105,Jefferson Blvd + Hetzler Rd (New),2.05,,259.00,259.00,260,215,305,,, ,
East ,East ,Rt4,4,4,Intersection 93,Jefferson Blvd + Indian Wood Rd,0.60,,22.72,22.72,25,340,70,,, ,
West,West,Rt4,4,4,Intersection 93,Jefferson Blvd + Indian Wood Rd,1.30,,202.76,202.76,205,160,250,,, ,
East ,East ,Rt4,4,4,Intersection 92,Jefferson Blvd + Jordan Way / Summertime Ln,92.44,328.69,292.69,328.69,330,285,15,,North ,North ,"*High SD, probably a measuring error"
West,West,Rt4,4,4,Intersection 92,Jefferson Blvd + Jordan Way / Summertime Ln,3.44,,203.54,203.54,205,160,250,,, ,
East ,East ,Rt4,4,4,Intersection 87,Jefferson Blvd + Kinston Ave,0.98,,22.61,22.61,25,340,70,,, ,
North (15),North,Rt3,3,3,Intersection 87,Jefferson Blvd + Kinston Ave,1.37,,22.21,22.21,20,335,65,,, ,
South (54),South,Rt3,3,3,Intersection 87,Jefferson Blvd + Kinston Ave,0.68,,202.46,202.46,200,155,245,,, ,
South (57),South,Rt3,3,3,Intersection 87,Jefferson Blvd + Kinston Ave,0.62,,202.18,202.18,200,155,245,,, ,
West,West,Rt4,4,4,Intersection 87,Jefferson Blvd + Kinston Ave,0.52,,201.95,201.95,200,155,245,,, ,
East ,East ,Rt4,4,4,Intersection 85,Jefferson Blvd + Machado Rd,1.00,,357.46,357.46,355,310,40,,, ,
North (15),North,Rt3,3,3,Intersection 85,Jefferson Blvd + Machado Rd,1.40,,357.06,357.06,355,310,40,,, ,
South (54),South,Rt3,3,3,Intersection 85,Jefferson Blvd + Machado Rd,2.66,,179.04,179.04,180,135,225,,, ,
South (57),South,Rt3,3,3,Intersection 85,Jefferson Blvd + Machado Rd,2.07,,178.97,178.97,180,135,225,,, ,
West,West,Rt4,4,4,Intersection 85,Jefferson Blvd + Machado Rd,0.62,,177.36,177.36,175,130,220,,, ,
East ,East ,Rt4,4,4,Intersection 89,Jefferson Blvd + Overland Ave,0.85,,322.19,322.19,320,275,5,,North ,North ,NB right turn
North (15),North,Rt3,3,3,Intersection 89,Jefferson Blvd + Overland Ave,0.65,,22.97,22.97,25,340,70,,, ,"*Line 3 NB can be either North or East here, depending on route pattern"
South (54),South,Rt3,3,3,Intersection 89,Jefferson Blvd + Overland Ave,0.20,,142.40,142.40,140,95,185,,, ,
South (57),South,Rt3,3,3,Intersection 89,Jefferson Blvd + Overland Ave,0.48,,141.88,141.88,140,95,185,,, ,
West,West,Rt4,4,4,Intersection 89,Jefferson Blvd + Overland Ave,0.88,,202.19,202.19,200,155,245,,West ,West ,
East ,East ,Rt4,4,4,Intersection 94,Jefferson Blvd + Raintree Cir,1.32,,22.68,22.68,25,340,70,,, ,
West,West,Rt4,4,4,Intersection 94,Jefferson Blvd + Raintree Cir,1.01,,202.65,202.65,205,160,250,,, ,
East,East,Rt1,1,1,Intersection 43,Lafayette Pl + Culver Blvd,26.80,120.54,111.65,120.54,120,75,165,,East ,East ,"*High SD, likely a measurement error"
East,East,Rt5,5,5,Intersection 43,Lafayette Pl + Culver Blvd,1.21,,33.07,33.07,35,350,80,,East ,East ,
East ,East ,Rt7,7,7,Intersection 43,Lafayette Pl + Culver Blvd,2.98,,33.91,33.91,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 43,Lafayette Pl + Culver Blvd,0.37,,33.50,33.50,35,350,80,,East ,East ,
West ,West ,Rt1,1,1,Intersection 43,Lafayette Pl + Culver Blvd,0.94,,213.84,213.84,215,170,260,,West ,West ,
West ,West ,Rt5,5,5,Intersection 43,Lafayette Pl + Culver Blvd,1.22,,212.99,212.99,215,170,260,,West ,West ,
West ,West ,Rt7,7,7,Intersection 43,Lafayette Pl + Culver Blvd,0.72,,213.52,213.52,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 43,Lafayette Pl + Culver Blvd,0.48,,213.23,213.23,215,170,260,,West ,West ,
North,North,Rt6,6,6,Intersection 24,Lindblade St + Sepulveda Blvd,1.88,,302.80,302.80,305,260,350,,North ,North ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 24,Lindblade St + Sepulveda Blvd,1.34,,303.91,303.91,305,260,350,,North ,North ,
South ,South ,Rt6,6,6,Intersection 24,Lindblade St + Sepulveda Blvd,0.57,,124.36,124.36,125,80,170,,South ,South ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 24,Lindblade St + Sepulveda Blvd,0.59,,126.70,126.70,125,80,170,,South ,South ,
North,North,Rt6,6,6,Intersection 22,Lucerne Ave + Sepulveda Blvd,1.64,,304.58,304.58,305,260,350,,North ,North ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 22,Lucerne Ave + Sepulveda Blvd,0.68,,303.84,303.84,305,260,350,,North ,North ,
South ,South ,Rt6,6,6,Intersection 22,Lucerne Ave + Sepulveda Blvd,0.37,,123.89,123.89,125,80,170,,South ,South ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 22,Lucerne Ave + Sepulveda Blvd,1.07,,123.29,123.29,125,80,170,,South ,South ,
East,East,Rt5,5,5,Intersection 101,National Blvd + Eastham Dr,1.59,,96.06,96.06,95,50,140,,, ,
West ,West ,Rt5,5,5,Intersection 101,National Blvd + Eastham Dr,1.60,,7.13,7.13,5,320,50,,West,West,*Likely due to realignment for bridge construction.
East,East,Rt5,5,5,Intersection 52,National Blvd + Hayden Ave,1.45,,96.73,96.73,95,50,140,,, ,
West ,West ,Rt5,5,5,Intersection 52,National Blvd + Hayden Ave,0.93,,275.54,275.54,275,230,320,,, ,
East,East,Rt5,5,5,Intersection 53,National Blvd + Wesley St,9.10,,112.71,112.71,115,70,160,,, ,
East ,East ,Rt4,4,4,Intersection 91,Overland Ave + Maytime Ln,34.17,,43.80,43.80,45,0,90,,, ,
North (27),North,Rt3,3,3,Intersection 91,Overland Ave + Maytime Ln,5.29,,321.57,321.57,320,275,5,,, ,
South (67),South,Rt3,3,3,Intersection 91,Overland Ave + Maytime Ln,3.05,,144.42,144.42,145,100,190,,, ,
West,West,Rt4,4,4,Intersection 91,Overland Ave + Maytime Ln,22.10,,166.26,166.26,165,120,210,,, ,
North (15),North,Rt3,3,3,Intersection 88,Overland Ave + Virginia Ave,1.82,,317.94,317.94,320,275,5,,, ,
South (54),South,Rt3,3,3,Intersection 88,Overland Ave + Virginia Ave,0.22,,145.44,145.44,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 88,Overland Ave + Virginia Ave,0.83,,145.62,145.62,145,100,190,,, ,
East ,East ,Rt4,4,4,Intersection 90,"Overland Ave, Clarmon Pl + Freshman Dr",0.54,,200.46,200.46,200,155,245,,, ,SB left turn
North (27),North,Rt3,3,3,Intersection 90,"Overland Ave, Clarmon Pl + Freshman Dr",10.87,,347.06,347.06,345,300,30,,, ,
South (67),South,Rt3,3,3,Intersection 90,"Overland Ave, Clarmon Pl + Freshman Dr",2.08,,140.78,140.78,140,95,185,,, ,
West,West,Rt4,4,4,Intersection 90,"Overland Ave, Clarmon Pl + Freshman Dr",1.09,,200.26,200.26,200,155,245,,West ,West ,WB left turn
East ,East ,Rt4,4,4,Intersection 82,Sepulveda Blvd + Berryman Ave,1.16,,357.91,357.91,360,315,45,,, ,
North,North,Rt6,6,6,Intersection 82,Sepulveda Blvd + Berryman Ave,0.25,,358.50,358.50,360,315,45,,, ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 82,Sepulveda Blvd + Berryman Ave,0.39,,358.32,358.32,360,315,45,,, ,
North (15),North,Rt3,3,3,Intersection 82,Sepulveda Blvd + Berryman Ave,0.98,,357.99,357.99,360,315,45,,, ,
South ,South ,Rt6,6,6,Intersection 82,Sepulveda Blvd + Berryman Ave,1.27,,177.98,177.98,180,135,225,,, ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 82,Sepulveda Blvd + Berryman Ave,1.96,,177.38,177.38,175,130,220,,, ,
South (54),South,Rt3,3,3,Intersection 82,Sepulveda Blvd + Berryman Ave,0.95,,177.02,177.02,175,130,220,,, ,
South (57),South,Rt3,3,3,Intersection 82,Sepulveda Blvd + Berryman Ave,3.79,,178.22,178.22,180,135,225,,, ,
West,West,Rt4,4,4,Intersection 82,Sepulveda Blvd + Berryman Ave,1.53,,176.82,176.82,175,130,220,,, ,
North,North,Rt6,6,6,Intersection 71,Sepulveda Blvd + Centinela Ave,1.10,,347.84,347.84,350,305,35,,, ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 71,Sepulveda Blvd + Centinela Ave,1.85,,346.37,346.37,345,300,30,,, ,
North (15),North,Rt3,3,3,Intersection 71,Sepulveda Blvd + Centinela Ave,1.34,,121.99,121.99,120,75,165,,, ,EB left turn
South ,South ,Rt6,6,6,Intersection 71,Sepulveda Blvd + Centinela Ave,16.77,,189.23,189.23,190,145,235,,, ,
South (54),South,Rt3,3,3,Intersection 71,Sepulveda Blvd + Centinela Ave,5.36,,182.75,182.75,185,140,230,,, ,
South (57),South,Rt3,3,3,Intersection 71,Sepulveda Blvd + Centinela Ave,7.53,,180.34,180.34,180,135,225,,, ,
West ,West ,Rt2,2,2,Intersection 71,Sepulveda Blvd + Centinela Ave,1.35,,301.10,301.10,300,255,345,,, ,
East,East,Rt2,2,2,Intersection 72,Sepulveda Blvd + Green Valley Cir,7.76,,147.58,147.58,150,105,195,,, ,SB left turn
North,North,Rt6,6,6,Intersection 72,Sepulveda Blvd + Green Valley Cir,3.76,,11.25,11.25,10,325,55,,, ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 72,Sepulveda Blvd + Green Valley Cir,3.21,,13.21,13.21,15,330,60,,, ,
North (15),North,Rt3,3,3,Intersection 72,Sepulveda Blvd + Green Valley Cir,1.49,,10.01,10.01,10,325,55,,, ,NB right turn
South ,South ,Rt6,6,6,Intersection 72,Sepulveda Blvd + Green Valley Cir,6.96,,150.46,150.46,150,105,195,,, ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 72,Sepulveda Blvd + Green Valley Cir,4.99,,157.35,157.35,155,110,200,,, ,
South (54),South,Rt3,3,3,Intersection 72,Sepulveda Blvd + Green Valley Cir,7.99,,259.28,259.28,260,215,305,,, ,WB left turn
South (57),South,Rt3,3,3,Intersection 72,Sepulveda Blvd + Green Valley Cir,3.41,,254.50,254.50,255,210,300,,, ,WB left turn
